serviceName,usageAmount,cost,billingDate,region,cloudProvider
EC2,100,45.50,2026-03-01,us-east-1,AWS
S3,500,12.30,2026-03-01,us-west-2,AWS
RDS,80,38.00,2026-03-01,us-east-1,AWS
Lambda,10000,5.20,2026-03-01,us-east-2,AWS
EC2,120,54.60,2026-03-05,us-east-1,AWS
S3,620,15.10,2026-03-05,us-west-2,AWS
BigQuery,200,8.90,2026-03-05,us-central1,GCP
CloudSQL,60,22.40,2026-03-05,us-central1,GCP
AzureVM,90,41.20,2026-03-05,eastus,Azure
BlobStorage,300,9.60,2026-03-05,eastus,Azure
EC2,115,52.20,2026-03-10,us-east-1,AWS
RDS,85,40.80,2026-03-10,us-east-1,AWS
BigQuery,220,9.70,2026-03-10,us-central1,GCP
AzureVM,95,43.50,2026-03-10,eastus,Azure
CloudFront,1000,6.80,2026-03-10,us-east-1,AWS
EC2,130,58.50,2026-03-15,us-east-1,AWS
S3,700,17.20,2026-03-15,us-west-2,AWS
Lambda,12000,6.10,2026-03-15,us-east-2,AWS
CloudSQL,65,24.90,2026-03-15,us-central1,GCP
BlobStorage,350,11.20,2026-03-15,eastus,Azure
